,Pclass,Sex,Age,Embarked,Survived,Fare
432,2,female,42.0,S,1,26.0
433,3,male,17.0,S,0,7.125
434,1,male,50.0,S,0,55.9
435,1,female,14.0,S,1,65.6344
436,3,female,21.0,S,0,34.375
437,2,female,24.0,S,1,18.75
438,1,male,54.5,S,0,65.6344
439,2,male,31.0,S,0,10.5
440,2,female,45.0,S,1,26.25
441,3,male,20.0,S,0,9.5
442,3,male,25.0,S,0,7.775
443,2,female,28.0,S,1,13.0
444,3,male,29.0,S,1,8.1125
445,1,male,4.0,S,1,65.6344
446,2,female,13.0,S,1,19.5
447,1,male,34.0,S,1,26.55
448,3,female,5.0,C,1,19.2583
449,1,male,52.0,S,1,30.5
450,2,male,36.0,S,0,27.75
451,3,male,29.0,S,0,19.9667
452,1,male,30.0,C,0,27.75
453,1,male,49.0,C,1,65.6344
454,3,male,29.0,S,0,8.05
455,3,male,29.0,C,1,7.8958
456,1,male,54.5,S,0,26.55
457,1,female,29.0,S,1,51.8625
458,2,female,50.0,S,1,10.5
459,3,male,29.0,Q,0,7.75
460,1,male,48.0,S,1,26.55
461,3,male,34.0,S,0,8.05
462,1,male,47.0,S,0,38.5
463,2,male,48.0,S,0,13.0
464,3,male,29.0,S,0,8.05
465,3,male,38.0,S,0,7.05
466,2,male,29.0,S,0,0.0
467,1,male,54.5,S,0,26.55
468,3,male,29.0,Q,0,7.725
469,3,female,2.5,C,1,19.2583
470,3,male,29.0,S,0,7.25
471,3,male,38.0,S,0,8.6625
472,2,female,33.0,S,1,27.75
473,2,female,23.0,C,1,13.7917
474,3,female,22.0,S,0,9.8375
475,1,male,29.0,S,0,52.0
476,2,male,34.0,S,0,21.0
477,3,male,29.0,S,0,7.0458
478,3,male,22.0,S,0,7.5208
479,3,female,2.5,S,1,12.2875
480,3,male,9.0,S,0,46.9
481,2,male,29.0,S,0,0.0
482,3,male,50.0,S,0,8.05
483,3,female,54.5,S,1,9.5875
484,1,male,25.0,C,1,65.6344
485,3,female,29.0,S,0,25.4667
486,1,female,35.0,S,1,65.6344
487,1,male,54.5,C,0,29.7
488,3,male,30.0,S,0,8.05
489,3,male,9.0,S,1,15.9
490,3,male,29.0,S,0,19.9667
491,3,male,21.0,S,0,7.25
492,1,male,54.5,S,0,30.5
493,1,male,54.5,C,0,49.5042
494,3,male,21.0,S,0,8.05
495,3,male,29.0,C,0,14.4583
496,1,female,54.0,C,1,65.6344
497,3,male,29.0,S,0,15.1
498,1,female,25.0,S,0,65.6344
499,3,male,24.0,S,0,7.7958
500,3,male,17.0,S,0,8.6625
501,3,female,21.0,Q,0,7.75
502,3,female,29.0,Q,0,7.6292
503,3,female,37.0,S,0,9.5875
504,1,female,16.0,S,1,65.6344
505,1,male,18.0,C,0,65.6344
506,2,female,33.0,S,1,26.0
507,1,male,29.0,S,1,26.55
508,3,male,28.0,S,0,22.525
509,3,male,26.0,S,1,56.4958
510,3,male,29.0,Q,1,7.75
511,3,male,29.0,S,0,8.05
512,1,male,36.0,S,1,26.2875
513,1,female,54.0,C,1,59.4
514,3,male,24.0,S,0,7.4958
515,1,male,47.0,S,0,34.0208
516,2,female,34.0,S,1,10.5
517,3,male,29.0,Q,0,24.15
518,2,female,36.0,S,1,26.0
519,3,male,32.0,S,0,7.8958
520,1,female,30.0,S,1,65.6344
521,3,male,22.0,S,0,7.8958
522,3,male,29.0,C,0,7.225
523,1,female,44.0,C,1,57.9792
524,3,male,29.0,C,0,7.2292
525,3,male,40.0,Q,0,7.75
526,2,female,50.0,S,1,10.5
527,1,male,29.0,S,0,65.6344
528,3,male,39.0,S,0,7.925
529,2,male,23.0,S,0,11.5
530,2,female,2.5,S,1,26.0
531,3,male,29.0,C,0,7.2292
532,3,male,17.0,C,0,7.2292
533,3,female,29.0,C,1,22.3583
534,3,female,30.0,S,0,8.6625
535,2,female,7.0,S,1,26.25
536,1,male,45.0,S,0,26.55
537,1,female,30.0,C,1,65.6344
538,3,male,29.0,S,0,14.5
539,1,female,22.0,C,1,49.5
540,1,female,36.0,S,1,65.6344
541,3,female,9.0,S,0,31.275
542,3,female,11.0,S,0,31.275
543,2,male,32.0,S,1,26.0
544,1,male,50.0,C,0,65.6344
545,1,male,54.5,S,0,26.0
546,2,female,19.0,S,1,26.0
547,2,male,29.0,C,1,13.8625
548,3,male,33.0,S,0,20.525
549,2,male,8.0,S,1,36.75
550,1,male,17.0,C,1,65.6344
551,2,male,27.0,S,0,26.0
552,3,male,29.0,Q,0,7.8292
553,3,male,22.0,C,1,7.225
554,3,female,22.0,S,1,7.775
555,1,male,54.5,S,0,26.55
556,1,female,48.0,C,1,39.6
557,1,male,29.0,C,0,65.6344
558,1,female,39.0,S,1,65.6344
559,3,female,36.0,S,1,17.4
560,3,male,29.0,Q,0,7.75
561,3,male,40.0,S,0,7.8958
562,2,male,28.0,S,0,13.5
563,3,male,29.0,S,0,8.05
564,3,female,29.0,S,0,8.05
565,3,male,24.0,S,0,24.15
566,3,male,19.0,S,0,7.8958
567,3,female,29.0,S,0,21.075
568,3,male,29.0,C,0,7.2292
569,3,male,32.0,S,1,7.8542
570,2,male,54.5,S,1,10.5
571,1,female,53.0,S,1,51.4792
572,1,male,36.0,S,1,26.3875
573,3,female,29.0,Q,1,7.75
574,3,male,16.0,S,0,8.05
575,3,male,19.0,S,0,14.5
576,2,female,34.0,S,1,13.0
577,1,female,39.0,S,1,55.9
578,3,female,29.0,C,0,14.4583
579,3,male,32.0,S,1,7.925
580,2,female,25.0,S,1,30.0
581,1,female,39.0,C,1,65.6344
582,2,male,54.0,S,0,26.0
583,1,male,36.0,C,0,40.125
584,3,male,29.0,C,0,8.7125
585,1,female,18.0,S,1,65.6344
586,2,male,47.0,S,0,15.0
587,1,male,54.5,C,1,65.6344
588,3,male,22.0,S,0,8.05
589,3,male,29.0,S,0,8.05
590,3,male,35.0,S,0,7.125
591,1,female,52.0,C,1,65.6344
592,3,male,47.0,S,0,7.25
593,3,female,29.0,Q,0,7.75
594,2,male,37.0,S,0,26.0
595,3,male,36.0,S,0,24.15
596,2,female,29.0,S,1,33.0
597,3,male,49.0,S,0,0.0
598,3,male,29.0,C,0,7.225
599,1,male,49.0,C,1,56.9292
600,2,female,24.0,S,1,27.0
601,3,male,29.0,S,0,7.8958
602,1,male,29.0,S,0,42.4
603,3,male,44.0,S,0,8.05
604,1,male,35.0,C,1,26.55
605,3,male,36.0,S,0,15.55
606,3,male,30.0,S,0,7.8958
607,1,male,27.0,S,1,30.5
608,2,female,22.0,C,1,41.5792
609,1,female,40.0,S,1,65.6344
610,3,female,39.0,S,0,31.275
611,3,male,29.0,S,0,7.05
612,3,female,29.0,Q,1,15.5
613,3,male,29.0,Q,0,7.75
614,3,male,35.0,S,0,8.05
615,2,female,24.0,S,1,65.0
616,3,male,34.0,S,0,14.4
617,3,female,26.0,S,0,16.1
618,2,female,4.0,S,1,39.0
619,2,male,26.0,S,0,10.5
620,3,male,27.0,C,0,14.4542
621,1,male,42.0,S,1,52.5542
622,3,male,20.0,C,1,15.7417
623,3,male,21.0,S,0,7.8542
624,3,male,21.0,S,0,16.1
625,1,male,54.5,S,0,32.3208
626,2,male,54.5,Q,0,12.35
627,1,female,21.0,S,1,65.6344
628,3,male,26.0,S,0,7.8958
629,3,male,29.0,Q,0,7.7333
630,1,male,54.5,S,1,30.0
631,3,male,51.0,S,0,7.0542
632,1,male,32.0,C,1,30.5
633,1,male,29.0,S,0,0.0
634,3,female,9.0,S,0,27.9
635,2,female,28.0,S,1,13.0
636,3,male,32.0,S,0,7.925
637,2,male,31.0,S,0,26.25
638,3,female,41.0,S,0,39.6875
639,3,male,29.0,S,0,16.1
640,3,male,20.0,S,0,7.8542
641,1,female,24.0,C,1,65.6344
642,3,female,2.5,S,0,27.9
643,3,male,29.0,S,1,56.4958
644,3,female,2.5,C,1,19.2583
645,1,male,48.0,C,1,65.6344
646,3,male,19.0,S,0,7.8958
647,1,male,54.5,C,1,35.5
648,3,male,29.0,S,0,7.55
649,3,female,23.0,S,1,7.55
650,3,male,29.0,S,0,7.8958
651,2,female,18.0,S,1,23.0
652,3,male,21.0,S,0,8.4333
653,3,female,29.0,Q,1,7.8292
654,3,female,18.0,Q,0,6.75
655,2,male,24.0,S,0,65.6344
656,3,male,29.0,S,0,7.8958
657,3,female,32.0,Q,0,15.5
658,2,male,23.0,S,0,13.0
659,1,male,54.5,C,0,65.6344
660,1,male,50.0,S,1,65.6344
661,3,male,40.0,C,0,7.225
662,1,male,47.0,S,0,25.5875
663,3,male,36.0,S,0,7.4958
664,3,male,20.0,S,1,7.925
665,2,male,32.0,S,0,65.6344
666,2,male,25.0,S,0,13.0
667,3,male,29.0,S,0,7.775
668,3,male,43.0,S,0,8.05
669,1,female,29.0,S,1,52.0
670,2,female,40.0,S,1,39.0
671,1,male,31.0,S,0,52.0
672,2,male,54.5,S,0,10.5
673,2,male,31.0,S,1,13.0
674,2,male,29.0,S,0,0.0
675,3,male,18.0,S,0,7.775
676,3,male,24.0,S,0,8.05
677,3,female,18.0,S,1,9.8417
678,3,female,43.0,S,0,46.9
679,1,male,36.0,C,1,65.6344
680,3,female,29.0,Q,0,8.1375
681,1,male,27.0,C,1,65.6344
682,3,male,20.0,S,0,9.225
683,3,male,14.0,S,0,46.9
684,2,male,54.5,S,0,39.0
685,2,male,25.0,C,0,41.5792
686,3,male,14.0,S,0,39.6875
687,3,male,19.0,S,0,10.1708
688,3,male,18.0,S,0,7.7958
689,1,female,15.0,S,1,65.6344
690,1,male,31.0,S,1,57.0
691,3,female,4.0,C,1,13.4167
692,3,male,29.0,S,1,56.4958
693,3,male,25.0,C,0,7.225
694,1,male,54.5,S,0,26.55
695,2,male,52.0,S,0,13.5
696,3,male,44.0,S,0,8.05
697,3,female,29.0,Q,1,7.7333
698,1,male,49.0,C,0,65.6344
699,3,male,42.0,S,0,7.65
700,1,female,18.0,C,1,65.6344
701,1,male,35.0,S,1,26.2875
702,3,female,18.0,C,0,14.4542
703,3,male,25.0,Q,0,7.7417
704,3,male,26.0,S,0,7.8542
705,2,male,39.0,S,0,26.0
706,2,female,45.0,S,1,13.5
707,1,male,42.0,S,1,26.2875
708,1,female,22.0,S,1,65.6344
709,3,male,29.0,C,1,15.2458
710,1,female,24.0,C,1,49.5042
711,1,male,29.0,S,0,26.55
712,1,male,48.0,S,1,52.0
713,3,male,29.0,S,0,9.4833
714,2,male,52.0,S,0,13.0
715,3,male,19.0,S,0,7.65
716,1,female,38.0,C,1,65.6344
717,2,female,27.0,S,1,10.5
718,3,male,29.0,Q,0,15.5
719,3,male,33.0,S,0,7.775
720,2,female,6.0,S,1,33.0
721,3,male,17.0,S,0,7.0542
722,2,male,34.0,S,0,13.0
723,2,male,50.0,S,0,13.0
724,1,male,27.0,S,1,53.1
725,3,male,20.0,S,0,8.6625
726,2,female,30.0,S,1,21.0
727,3,female,29.0,Q,1,7.7375
728,2,male,25.0,S,0,26.0
729,3,female,25.0,S,0,7.925
730,1,female,29.0,S,1,65.6344
731,3,male,11.0,C,0,18.7875
732,2,male,29.0,S,0,0.0
733,2,male,23.0,S,0,13.0
734,2,male,23.0,S,0,13.0
735,3,male,28.0,S,0,16.1
736,3,female,48.0,S,0,34.375
737,1,male,35.0,C,1,65.6344
738,3,male,29.0,S,0,7.8958
739,3,male,29.0,S,0,7.8958
740,1,male,29.0,S,1,30.0
741,1,male,36.0,S,0,65.6344
742,1,female,21.0,C,1,65.6344
743,3,male,24.0,S,0,16.1
744,3,male,31.0,S,1,7.925
745,1,male,54.5,S,0,65.6344
746,3,male,16.0,S,0,20.25
747,2,female,30.0,S,1,13.0
748,1,male,19.0,S,0,53.1
749,3,male,31.0,Q,0,7.75
750,2,female,4.0,S,1,23.0
751,3,male,6.0,S,1,12.475
752,3,male,33.0,S,0,9.5
753,3,male,23.0,S,0,7.8958
