,Pclass,Age,Survived,Fare
127,3,24.0,1,7.1417
128,3,29.0,1,22.3583
129,3,45.0,0,6.975
130,3,33.0,0,7.8958
131,3,20.0,0,7.05
132,3,47.0,0,14.5
133,2,29.0,1,26.0
134,2,25.0,0,13.0
135,2,23.0,0,15.0458
136,1,19.0,1,26.2833
137,1,37.0,0,53.1
138,3,16.0,0,9.2167
139,1,24.0,0,65.6344
140,3,29.0,0,15.2458
141,3,22.0,1,7.75
142,3,24.0,1,15.85
143,3,19.0,0,6.75
144,2,18.0,0,11.5
145,2,19.0,0,36.75
146,3,27.0,1,7.7958
147,3,9.0,0,34.375
148,2,36.0,0,26.0
149,2,42.0,0,13.0
150,2,51.0,0,12.525
151,1,22.0,1,65.6344
152,3,54.5,0,8.05
153,3,40.0,0,14.5
154,3,29.0,0,7.3125
155,1,51.0,0,61.3792
156,3,16.0,1,7.7333
157,3,30.0,0,8.05
158,3,29.0,0,8.6625
159,3,29.0,0,65.6344
160,3,44.0,0,16.1
161,2,40.0,1,15.75
162,3,26.0,0,7.775
163,3,17.0,0,8.6625
164,3,2.5,0,39.6875
165,3,9.0,1,20.525
166,1,29.0,1,55.0
167,3,45.0,0,27.9
168,1,29.0,0,25.925
169,3,28.0,0,56.4958
170,1,54.5,0,33.5
171,3,4.0,0,29.125
172,3,2.5,1,11.1333
173,3,21.0,0,7.925
174,1,54.5,0,30.6958
175,3,18.0,0,7.8542
176,3,29.0,0,25.4667
177,1,50.0,0,28.7125
178,2,30.0,0,13.0
179,3,36.0,0,0.0
180,3,29.0,0,65.6344
181,2,29.0,0,15.05
182,3,9.0,0,31.3875
183,2,2.5,1,39.0
184,3,4.0,1,22.025
185,1,29.0,0,50.0
186,3,29.0,1,15.5
187,1,45.0,1,26.55
188,3,40.0,0,15.5
189,3,36.0,0,7.8958
190,2,32.0,1,13.0
191,2,19.0,0,13.0
192,3,19.0,1,7.8542
193,2,3.0,1,26.0
194,1,44.0,1,27.7208
195,1,54.5,1,65.6344
196,3,29.0,0,7.75
197,3,42.0,0,8.4042
198,3,29.0,1,7.75
199,2,24.0,0,13.0
200,3,28.0,0,9.5
201,3,29.0,0,65.6344
202,3,34.0,0,6.4958
203,3,45.0,0,7.225
204,3,18.0,1,8.05
205,3,2.5,0,10.4625
206,3,32.0,0,15.85
207,3,26.0,1,18.7875
208,3,16.0,1,7.75
209,1,40.0,1,31.0
210,3,24.0,0,7.05
211,2,35.0,1,21.0
212,3,22.0,0,7.25
213,2,30.0,0,13.0
214,3,29.0,0,7.75
215,1,31.0,1,65.6344
216,3,27.0,1,7.925
217,2,42.0,0,27.0
218,1,32.0,1,65.6344
219,2,30.0,0,10.5
220,3,16.0,1,8.05
221,2,27.0,0,13.0
222,3,51.0,0,8.05
223,3,29.0,0,7.8958
224,1,38.0,1,65.6344
225,3,22.0,0,9.35
226,2,19.0,1,10.5
227,3,20.0,0,7.25
228,2,18.0,0,13.0
229,3,29.0,0,25.4667
230,1,35.0,1,65.6344
231,3,29.0,0,7.775
232,2,54.5,0,13.5
233,3,5.0,1,31.3875
234,2,24.0,0,10.5
235,3,29.0,0,7.55
236,2,44.0,0,26.0
237,2,8.0,1,26.25
238,2,19.0,0,10.5
239,2,33.0,0,12.275
240,3,29.0,0,14.4542
241,3,29.0,1,15.5
242,2,29.0,0,10.5
243,3,22.0,0,7.125
244,3,30.0,0,7.225
245,1,44.0,0,65.6344
246,3,25.0,0,7.775
247,2,24.0,1,14.5
248,1,37.0,1,52.5542
249,2,54.0,0,26.0
250,3,29.0,0,7.25
251,3,29.0,0,10.4625
252,1,54.5,0,26.55
253,3,30.0,0,16.1
254,3,41.0,0,20.2125
255,3,29.0,1,15.2458
256,1,29.0,1,65.6344
257,1,30.0,1,65.6344
258,1,35.0,1,65.6344
259,2,50.0,1,26.0
260,3,29.0,0,7.75
261,3,3.0,1,31.3875
262,1,52.0,0,65.6344
263,1,40.0,0,0.0
264,3,29.0,0,7.75
265,2,36.0,0,10.5
266,3,16.0,0,39.6875
267,3,25.0,1,7.775
268,1,54.5,1,65.6344
269,1,35.0,1,65.6344
270,1,29.0,0,31.0
271,3,25.0,1,0.0
272,2,41.0,1,19.5
273,1,37.0,0,29.7
274,3,29.0,1,7.75
275,1,54.5,1,65.6344
276,3,45.0,0,7.75
277,2,29.0,0,0.0
278,3,7.0,0,29.125
279,3,35.0,1,20.25
280,3,54.5,0,7.75
281,3,28.0,0,7.8542
282,3,16.0,0,9.5
283,3,19.0,1,8.05
284,1,29.0,0,26.0
285,3,33.0,0,8.6625
286,3,30.0,1,9.5
287,3,22.0,0,7.8958
288,2,42.0,1,13.0
289,3,22.0,1,7.75
290,1,26.0,1,65.6344
291,1,19.0,1,65.6344
292,2,36.0,0,12.875
293,3,24.0,0,8.85
294,3,24.0,0,7.8958
295,1,29.0,0,27.7208
296,3,23.0,0,7.2292
297,1,2.5,0,65.6344
298,1,29.0,1,30.5
299,1,50.0,1,65.6344
300,3,29.0,1,7.75
301,3,29.0,1,23.25
302,3,19.0,0,0.0
303,2,29.0,1,12.35
304,3,29.0,0,8.05
305,1,2.5,1,65.6344
306,1,29.0,1,65.6344
307,1,17.0,1,65.6344
308,2,30.0,0,24.0
309,1,30.0,1,56.9292
310,1,24.0,1,65.6344
311,1,18.0,1,65.6344
312,2,26.0,0,26.0
313,3,28.0,0,7.8958
314,2,43.0,0,26.25
315,3,26.0,1,7.8542
316,2,24.0,1,26.0
317,2,54.0,0,14.0
318,1,31.0,1,65.6344
319,1,40.0,1,65.6344
320,3,22.0,0,7.25
321,3,27.0,0,7.8958
322,2,30.0,1,12.35
323,2,22.0,1,29.0
324,3,29.0,0,65.6344
325,1,36.0,1,65.6344
326,3,54.5,0,6.2375
327,2,36.0,1,13.0
328,3,31.0,1,20.525
329,1,16.0,1,57.9792
330,3,29.0,1,23.25
331,1,45.0,0,28.5
332,1,38.0,0,65.6344
333,3,16.0,0,18.0
334,1,29.0,1,65.6344
335,3,29.0,0,7.8958
336,1,29.0,0,65.6344
337,1,41.0,1,65.6344
338,3,45.0,1,8.05
339,1,45.0,0,35.5
340,2,2.5,1,26.0
341,1,24.0,1,65.6344
342,2,28.0,0,13.0
343,2,25.0,0,13.0
344,2,36.0,0,13.0
345,2,24.0,1,13.0
346,2,40.0,1,13.0
347,3,29.0,1,16.1
348,3,3.0,1,15.9
349,3,42.0,0,8.6625
350,3,23.0,0,9.225
351,1,29.0,0,35.0
352,3,15.0,0,7.2292
353,3,25.0,0,17.8
354,3,29.0,0,7.225
355,3,28.0,0,9.5
356,1,22.0,1,55.0
357,2,38.0,0,13.0
358,3,29.0,1,7.8792
359,3,29.0,1,7.8792
360,3,40.0,0,27.9
361,2,29.0,0,27.7208
362,3,45.0,0,14.4542
363,3,35.0,0,7.05
364,3,29.0,0,15.5
365,3,30.0,0,7.25
366,1,54.5,1,65.6344
367,3,29.0,1,7.2292
368,3,29.0,1,7.75
369,1,24.0,1,65.6344
370,1,25.0,1,55.4417
371,3,18.0,0,6.4958
372,3,19.0,0,8.05
373,1,22.0,0,65.6344
374,3,3.0,0,21.075
375,1,29.0,1,65.6344
376,3,22.0,1,7.25
377,1,27.0,0,65.6344
378,3,20.0,0,4.0125
379,3,19.0,0,7.775
380,1,42.0,1,65.6344
381,3,2.5,1,15.7417
382,3,32.0,0,7.925
383,1,35.0,1,52.0
384,3,29.0,0,7.8958
385,2,18.0,0,65.6344
386,3,2.5,0,46.9
387,2,36.0,1,13.0
388,3,29.0,0,7.7292
389,2,17.0,1,12.0
390,1,36.0,1,65.6344
391,3,21.0,1,7.7958
392,3,28.0,0,7.925
393,1,23.0,1,65.6344
394,3,24.0,1,16.7
395,3,22.0,0,7.7958
396,3,31.0,0,7.8542
397,2,46.0,0,26.0
398,2,23.0,0,10.5
399,2,28.0,1,12.65
400,3,39.0,1,7.925
401,3,26.0,0,8.05
402,3,21.0,0,9.825
403,3,28.0,0,15.85
404,3,20.0,0,8.6625
405,2,34.0,0,21.0
406,3,51.0,0,7.75
407,2,3.0,1,18.75
408,3,21.0,0,7.775
409,3,29.0,0,25.4667
410,3,29.0,0,7.8958
411,3,29.0,0,6.8583
412,1,33.0,1,65.6344
413,2,29.0,0,0.0
414,3,44.0,1,7.925
415,3,29.0,0,8.05
416,2,34.0,1,32.5
417,2,18.0,1,13.0
418,2,30.0,0,13.0
419,3,10.0,0,24.15
420,3,29.0,0,7.8958
421,3,21.0,0,7.7333
422,3,29.0,0,7.875
423,3,28.0,0,14.4
424,3,18.0,0,20.2125
425,3,29.0,0,7.25
426,2,28.0,1,26.0
427,2,19.0,1,26.0
428,3,29.0,0,7.75
429,3,32.0,1,8.05
430,1,28.0,1,26.55
431,3,29.0,1,16.1
432,2,42.0,1,26.0
433,3,17.0,0,7.125
434,1,50.0,0,55.9
435,1,14.0,1,65.6344
436,3,21.0,0,34.375
437,2,24.0,1,18.75
438,1,54.5,0,65.6344
439,2,31.0,0,10.5
440,2,45.0,1,26.25
441,3,20.0,0,9.5
442,3,25.0,0,7.775
443,2,28.0,1,13.0
444,3,29.0,1,8.1125
445,1,4.0,1,65.6344
446,2,13.0,1,19.5
447,1,34.0,1,26.55
448,3,5.0,1,19.2583
449,1,52.0,1,30.5
450,2,36.0,0,27.75
451,3,29.0,0,19.9667
452,1,30.0,0,27.75
453,1,49.0,1,65.6344
454,3,29.0,0,8.05
455,3,29.0,1,7.8958
456,1,54.5,0,26.55
457,1,29.0,1,51.8625
458,2,50.0,1,10.5
459,3,29.0,0,7.75
460,1,48.0,1,26.55
461,3,34.0,0,8.05
462,1,47.0,0,38.5
463,2,48.0,0,13.0
464,3,29.0,0,8.05
465,3,38.0,0,7.05
466,2,29.0,0,0.0
467,1,54.5,0,26.55
468,3,29.0,0,7.725
469,3,2.5,1,19.2583
470,3,29.0,0,7.25
471,3,38.0,0,8.6625
472,2,33.0,1,27.75
473,2,23.0,1,13.7917
474,3,22.0,0,9.8375
475,1,29.0,0,52.0
476,2,34.0,0,21.0
477,3,29.0,0,7.0458
478,3,22.0,0,7.5208
479,3,2.5,1,12.2875
480,3,9.0,0,46.9
481,2,29.0,0,0.0
482,3,50.0,0,8.05
483,3,54.5,1,9.5875
484,1,25.0,1,65.6344
485,3,29.0,0,25.4667
486,1,35.0,1,65.6344
487,1,54.5,0,29.7
488,3,30.0,0,8.05
489,3,9.0,1,15.9
490,3,29.0,0,19.9667
491,3,21.0,0,7.25
492,1,54.5,0,30.5
493,1,54.5,0,49.5042
494,3,21.0,0,8.05
495,3,29.0,0,14.4583
496,1,54.0,1,65.6344
497,3,29.0,0,15.1
498,1,25.0,0,65.6344
499,3,24.0,0,7.7958
500,3,17.0,0,8.6625
501,3,21.0,0,7.75
502,3,29.0,0,7.6292
503,3,37.0,0,9.5875
504,1,16.0,1,65.6344
505,1,18.0,0,65.6344
506,2,33.0,1,26.0
507,1,29.0,1,26.55
508,3,28.0,0,22.525
509,3,26.0,1,56.4958
510,3,29.0,1,7.75
511,3,29.0,0,8.05
512,1,36.0,1,26.2875
513,1,54.0,1,59.4
514,3,24.0,0,7.4958
515,1,47.0,0,34.0208
516,2,34.0,1,10.5
517,3,29.0,0,24.15
518,2,36.0,1,26.0
519,3,32.0,0,7.8958
520,1,30.0,1,65.6344
521,3,22.0,0,7.8958
522,3,29.0,0,7.225
523,1,44.0,1,57.9792
524,3,29.0,0,7.2292
525,3,40.0,0,7.75
526,2,50.0,1,10.5
527,1,29.0,0,65.6344
528,3,39.0,0,7.925
529,2,23.0,0,11.5
530,2,2.5,1,26.0
531,3,29.0,0,7.2292
532,3,17.0,0,7.2292
533,3,29.0,1,22.3583
534,3,30.0,0,8.6625
535,2,7.0,1,26.25
536,1,45.0,0,26.55
537,1,30.0,1,65.6344
538,3,29.0,0,14.5
539,1,22.0,1,49.5
540,1,36.0,1,65.6344
541,3,9.0,0,31.275
542,3,11.0,0,31.275
543,2,32.0,1,26.0
544,1,50.0,0,65.6344
545,1,54.5,0,26.0
546,2,19.0,1,26.0
547,2,29.0,1,13.8625
548,3,33.0,0,20.525
549,2,8.0,1,36.75
550,1,17.0,1,65.6344
551,2,27.0,0,26.0
552,3,29.0,0,7.8292
553,3,22.0,1,7.225
554,3,22.0,1,7.775
555,1,54.5,0,26.55
556,1,48.0,1,39.6
557,1,29.0,0,65.6344
558,1,39.0,1,65.6344
559,3,36.0,1,17.4
560,3,29.0,0,7.75
561,3,40.0,0,7.8958
562,2,28.0,0,13.5
563,3,29.0,0,8.05
564,3,29.0,0,8.05
565,3,24.0,0,24.15
566,3,19.0,0,7.8958
567,3,29.0,0,21.075
568,3,29.0,0,7.2292
569,3,32.0,1,7.8542
570,2,54.5,1,10.5
571,1,53.0,1,51.4792
572,1,36.0,1,26.3875
573,3,29.0,1,7.75
574,3,16.0,0,8.05
575,3,19.0,0,14.5
576,2,34.0,1,13.0
577,1,39.0,1,55.9
578,3,29.0,0,14.4583
579,3,32.0,1,7.925
580,2,25.0,1,30.0
581,1,39.0,1,65.6344
582,2,54.0,0,26.0
583,1,36.0,0,40.125
584,3,29.0,0,8.7125
585,1,18.0,1,65.6344
586,2,47.0,0,15.0
587,1,54.5,1,65.6344
588,3,22.0,0,8.05
589,3,29.0,0,8.05
590,3,35.0,0,7.125
591,1,52.0,1,65.6344
592,3,47.0,0,7.25
593,3,29.0,0,7.75
594,2,37.0,0,26.0
595,3,36.0,0,24.15
596,2,29.0,1,33.0
597,3,49.0,0,0.0
598,3,29.0,0,7.225
599,1,49.0,1,56.9292
600,2,24.0,1,27.0
601,3,29.0,0,7.8958
602,1,29.0,0,42.4
603,3,44.0,0,8.05
604,1,35.0,1,26.55
605,3,36.0,0,15.55
606,3,30.0,0,7.8958
607,1,27.0,1,30.5
608,2,22.0,1,41.5792
609,1,40.0,1,65.6344
610,3,39.0,0,31.275
611,3,29.0,0,7.05
612,3,29.0,1,15.5
613,3,29.0,0,7.75
614,3,35.0,0,8.05
615,2,24.0,1,65.0
616,3,34.0,0,14.4
617,3,26.0,0,16.1
618,2,4.0,1,39.0
619,2,26.0,0,10.5
620,3,27.0,0,14.4542
621,1,42.0,1,52.5542
622,3,20.0,1,15.7417
623,3,21.0,0,7.8542
624,3,21.0,0,16.1
625,1,54.5,0,32.3208
626,2,54.5,0,12.35
627,1,21.0,1,65.6344
628,3,26.0,0,7.8958
629,3,29.0,0,7.7333
630,1,54.5,1,30.0
631,3,51.0,0,7.0542
632,1,32.0,1,30.5
633,1,29.0,0,0.0
634,3,9.0,0,27.9
635,2,28.0,1,13.0
636,3,32.0,0,7.925
637,2,31.0,0,26.25
638,3,41.0,0,39.6875
639,3,29.0,0,16.1
640,3,20.0,0,7.8542
641,1,24.0,1,65.6344
642,3,2.5,0,27.9
643,3,29.0,1,56.4958
644,3,2.5,1,19.2583
645,1,48.0,1,65.6344
646,3,19.0,0,7.8958
647,1,54.5,1,35.5
648,3,29.0,0,7.55
649,3,23.0,1,7.55
650,3,29.0,0,7.8958
651,2,18.0,1,23.0
652,3,21.0,0,8.4333
653,3,29.0,1,7.8292
654,3,18.0,0,6.75
655,2,24.0,0,65.6344
656,3,29.0,0,7.8958
657,3,32.0,0,15.5
658,2,23.0,0,13.0
659,1,54.5,0,65.6344
660,1,50.0,1,65.6344
661,3,40.0,0,7.225
662,1,47.0,0,25.5875
663,3,36.0,0,7.4958
664,3,20.0,1,7.925
665,2,32.0,0,65.6344
666,2,25.0,0,13.0
667,3,29.0,0,7.775
668,3,43.0,0,8.05
669,1,29.0,1,52.0
670,2,40.0,1,39.0
671,1,31.0,0,52.0
672,2,54.5,0,10.5
673,2,31.0,1,13.0
674,2,29.0,0,0.0
675,3,18.0,0,7.775
676,3,24.0,0,8.05
677,3,18.0,1,9.8417
678,3,43.0,0,46.9
679,1,36.0,1,65.6344
680,3,29.0,0,8.1375
681,1,27.0,1,65.6344
682,3,20.0,0,9.225
683,3,14.0,0,46.9
684,2,54.5,0,39.0
685,2,25.0,0,41.5792
686,3,14.0,0,39.6875
687,3,19.0,0,10.1708
688,3,18.0,0,7.7958
689,1,15.0,1,65.6344
690,1,31.0,1,57.0
691,3,4.0,1,13.4167
692,3,29.0,1,56.4958
693,3,25.0,0,7.225
694,1,54.5,0,26.55
695,2,52.0,0,13.5
696,3,44.0,0,8.05
697,3,29.0,1,7.7333
698,1,49.0,0,65.6344
699,3,42.0,0,7.65
700,1,18.0,1,65.6344
701,1,35.0,1,26.2875
702,3,18.0,0,14.4542
703,3,25.0,0,7.7417
704,3,26.0,0,7.8542
705,2,39.0,0,26.0
706,2,45.0,1,13.5
707,1,42.0,1,26.2875
708,1,22.0,1,65.6344
709,3,29.0,1,15.2458
710,1,24.0,1,49.5042
711,1,29.0,0,26.55
712,1,48.0,1,52.0
713,3,29.0,0,9.4833
714,2,52.0,0,13.0
715,3,19.0,0,7.65
716,1,38.0,1,65.6344
717,2,27.0,1,10.5
718,3,29.0,0,15.5
719,3,33.0,0,7.775
720,2,6.0,1,33.0
721,3,17.0,0,7.0542
722,2,34.0,0,13.0
723,2,50.0,0,13.0
724,1,27.0,1,53.1
725,3,20.0,0,8.6625
726,2,30.0,1,21.0
727,3,29.0,1,7.7375
728,2,25.0,0,26.0
729,3,25.0,0,7.925
730,1,29.0,1,65.6344
731,3,11.0,0,18.7875
732,2,29.0,0,0.0
733,2,23.0,0,13.0
734,2,23.0,0,13.0
735,3,28.0,0,16.1
736,3,48.0,0,34.375
737,1,35.0,1,65.6344
738,3,29.0,0,7.8958
739,3,29.0,0,7.8958
740,1,29.0,1,30.0
741,1,36.0,0,65.6344
742,1,21.0,1,65.6344
743,3,24.0,0,16.1
744,3,31.0,1,7.925
745,1,54.5,0,65.6344
746,3,16.0,0,20.25
747,2,30.0,1,13.0
748,1,19.0,0,53.1
749,3,31.0,0,7.75
750,2,4.0,1,23.0
751,3,6.0,1,12.475
752,3,33.0,0,9.5
753,3,23.0,0,7.8958
754,2,48.0,1,65.0
755,2,2.5,1,14.5
756,3,28.0,0,7.7958
757,2,18.0,0,11.5
758,3,34.0,0,8.05
759,1,33.0,1,65.6344
760,3,29.0,0,14.5
761,3,41.0,0,7.125
762,3,20.0,1,7.2292
763,1,36.0,1,65.6344
764,3,16.0,0,7.775
765,1,51.0,1,65.6344
766,1,29.0,0,39.6
767,3,30.0,0,7.75
768,3,29.0,0,24.15
769,3,32.0,0,8.3625
770,3,24.0,0,9.5
771,3,48.0,0,7.8542
772,2,54.5,0,10.5
773,3,29.0,0,7.225
774,2,54.0,1,23.0
775,3,18.0,0,7.75
776,3,29.0,0,7.75
777,3,5.0,1,12.475
778,3,29.0,0,7.7375
779,1,43.0,1,65.6344
780,3,13.0,1,7.2292
781,1,17.0,1,57.0
782,1,29.0,0,30.0
783,3,29.0,0,23.45
784,3,25.0,0,7.05
785,3,25.0,0,7.25
786,3,18.0,1,7.4958
787,3,8.0,0,29.125
788,3,2.5,1,20.575
789,1,46.0,0,65.6344
790,3,29.0,0,7.75
791,2,16.0,0,26.0
792,3,29.0,0,65.6344
793,1,29.0,0,30.6958
794,3,25.0,0,7.8958
795,2,39.0,0,13.0
796,1,49.0,1,25.9292
797,3,31.0,1,8.6833
798,3,30.0,0,7.2292
799,3,30.0,0,24.15
800,2,34.0,0,13.0
801,2,31.0,1,26.25
802,1,11.0,1,65.6344
803,3,2.5,1,8.5167
804,3,27.0,1,6.975
805,3,31.0,0,7.775
806,1,39.0,0,0.0
807,3,18.0,0,7.775
808,2,39.0,0,13.0
809,1,33.0,1,53.1
810,3,26.0,0,7.8875
811,3,39.0,0,24.15
812,2,35.0,0,10.5
813,3,6.0,0,31.275
814,3,30.0,0,8.05
815,1,29.0,0,0.0
816,3,23.0,0,7.925
817,2,31.0,0,37.0042
818,3,43.0,0,6.45
819,3,10.0,0,27.9
820,1,52.0,1,65.6344
821,3,27.0,1,8.6625
822,1,38.0,0,0.0
823,3,27.0,1,12.475
824,3,2.5,0,39.6875
825,3,29.0,0,6.95
826,3,29.0,0,56.4958
827,2,2.5,1,37.0042
828,3,29.0,1,7.75
829,1,54.5,1,65.6344
830,3,15.0,1,14.4542
831,2,2.5,1,18.75
832,3,29.0,0,7.2292
833,3,23.0,0,7.8542
834,3,18.0,0,8.3
835,1,39.0,1,65.6344
836,3,21.0,0,8.6625
837,3,29.0,0,8.05
838,3,32.0,1,56.4958
839,1,29.0,1,29.7
840,3,20.0,0,7.925
841,2,16.0,0,10.5
842,1,30.0,1,31.0
843,3,34.0,0,6.4375
844,3,17.0,0,8.6625
845,3,42.0,0,7.55
846,3,29.0,0,65.6344
847,3,35.0,0,7.8958
848,2,28.0,0,33.0
849,1,29.0,1,65.6344
850,3,4.0,0,31.275
851,3,54.5,0,7.775
852,3,9.0,0,15.2458
853,1,16.0,1,39.4
854,2,44.0,0,26.0
855,3,18.0,1,9.35
856,1,45.0,1,65.6344
857,1,51.0,1,26.55
858,3,24.0,1,19.2583
859,3,29.0,0,7.2292
860,3,41.0,0,14.1083
861,2,21.0,0,11.5
862,1,48.0,1,25.9292
863,3,29.0,0,65.6344
864,2,24.0,0,13.0
865,2,42.0,1,13.0
866,2,27.0,1,13.8583
867,1,31.0,0,50.4958
868,3,29.0,0,9.5
869,3,4.0,1,11.1333
870,3,26.0,0,7.8958
871,1,47.0,1,52.5542
872,1,33.0,0,5.0
873,3,47.0,0,9.0
874,2,28.0,1,24.0
875,3,15.0,1,7.225
876,3,20.0,0,9.8458
877,3,19.0,0,7.8958
878,3,29.0,0,7.8958
879,1,54.5,1,65.6344
880,2,25.0,1,26.0
881,3,33.0,0,7.8958
882,3,22.0,0,10.5167
883,2,28.0,0,10.5
884,3,25.0,0,7.05
885,3,39.0,0,29.125
886,2,27.0,0,13.0
887,1,19.0,1,30.0
888,3,29.0,0,23.45
889,1,26.0,1,30.0
890,3,32.0,0,7.75
